µ¥´Ê                               ÊýÁ¿
the                             2037
and                             1710
i                                 1609
to                               1287
a                                 1153
of                               1126
in                               706
was                             680
it                               528
my                               522
you                             513
her                             482
she                             452
me                               449
that                           363
with                           362
had                             361
as                               341
not                             324
for                             292
is                               288
on                               286
but                             275
at                               267
he                               238
have                           209
be                               202
by                               188
from                           186
were                           177
no                               164
which                         164
all                             159
what                           157
when                           155
this                           153
miss                           152
or                               149
so                               148
his                             144
are                             140
an                               139
now                             137
s                                 137
then                           133
they                           132
one                             128
said                           126
up                               124
would                         122
if                               120
little                       117
mrs                             117
mr                               112
your                           111
there                         110
could                         107
room                           101
out                             100
them                           100
we                               100
been                           99
bessie                       98
some                           98
like                           97
very                           88
who                             87
do                               86
reed                           85
did                             81
its                             79
him                             78
will                           76
long                           74
into                           73
well                           73
before                       71
day                             70
their                         69
down                           68
how                             68
over                           67
two                             67
more                           66
should                       66
time                           66
too                             66
am                               63
where                         63
came                           62
never                         60
only                           60
can                             59
than                           59
went                           59
here                           58
temple                       58
thought                     58
fairfax                     57
helen                         57
see                             57
door                           54
good                           54
must                           54
go                               53
looked                       53
about                         52
first                         52
still                         52
again                         50
brocklehurst           50
come                           50
jane                           50
such                           50
much                           49
t                                 49
yes                             49
has                             48
after                         47
seemed                       47
girl                           46
yet                             46
child                         45
own                             45
these                         45
night                         44
heard                         43
just                           43
made                           43
new                             43
half                           42
rochester                 42
say                             42
think                         42
though                       42
felt                           41
great                         41
lowood                       41
saw                             41
us                               40
while                         40
away                           39
don                             39
way                             38
any                             37
asked                         37
face                           37
last                           37
round                         37
school                       37
shall                         37
hour                           36
lady                           36
put                             36
quite                         36
take                           36
eyes                           35
got                             35
hand                           35
head                           35
near                           35
years                         35
ever                           34
house                         34
morning                     34
nothing                     34
our                             34
something                 34
under                         34
back                           33
each                           33
make                           33
might                         33
myself                       33
place                         33
far                             32
hall                           32
left                           32
because                     31
dark                           31
fire                           31
off                             31
soon                           31
those                         31
through                     31
always                       30
children                   30
heart                         30
sat                             30
till                           30
bed                             29
being                         29
called                       29
eyre                           29
other                         29
sir                             29
why                             29
adele                         28
black                         28
both                           28
enough                       28
indeed                       28
know                           28
let                             28
light                         28
nor                             28
passed                       28
stood                         28
alone                         27
having                       27
perhaps                     27
burns                         26
every                         26
found                         26
life                           26
look                           26
may                             26
minutes                     26
most                           26
old                             26
same                           26
tell                           26
window                       26
without                     26
girls                         25
john                           25
looking                     25
many                           25
mind                           25
sure                           25
answer                       24
eye                             24
hair                           24
knew                           24
large                         24
rather                       24
returned                   24
young                         24
few                             23
gave                           23
read                           23
thing                         23
things                       23
took                           23
better                       22
cold                           22
continued                 22
evening                     22
low                             22
master                       22
seen                           22
table                         22
against                     21
another                     21
began                         21
behind                       21
book                           21
going                         21
herself                     21
however                     21
kind                           21
miller                       21
oh                               21
people                       21
seat                           21
silence                     21
teachers                   21
whose                         21
gateshead                 20
give                           20
hands                         20
home                           20
mama                           20
nursery                     20
poor                           20
thus                           20
turned                       20
abbot                         19
air                             19
besides                     19
breakfast                 19
cannot                       19
cried                         19
get                             19
horse                         19
live                           19
man                             19
nurse                         19
rose                           19
thornfield               19
voice                         19
world                         19
appeared                   18
even                           18
front                         18
full                           18
high                           18
least                         18
liked                         18
name                           18
o                                 18
once                           18
scatcherd                 18
sent                           18
sometimes                 18
speak                         18
three                         18
wish                           18
bell                           17
bread                         17
clock                         17
does                           17
doubt                         17
gone                           17
keep                           17
lay                             17
nature                       17
pale                           17
red                             17
side                           17
sort                           17
sound                         17
white                         17
age                             16
bad                             16
god                             16
grey                           16
hard                           16
leave                         16
less                           16
ll                               16
ma                               16
often                         16
open                           16
opened                       16
order                         16
part                           16
pleasure                   16
pupil                         16
small                         16
struck                       16
turn                           16
wished                       16
word                           16
words                         16
already                     15
best                           15
care                           15
chapter                     15
entered                     15
feel                           15
fell                           15
french                       15
mine                           15
moment                       15
mother                       15
sit                             15
steps                         15
strange                     15
suppose                     15
tall                           15
together                   15
wind                           15
woman                         15
afraid                       14
afternoon                 14
almost                       14
answered                   14
believe                     14
between                     14
books                         14
brought                     14
candle                       14
class                         14
days                           14
done                           14
drawing                     14
fear                           14
feeling                     14
none                           14
received                   14
scarcely                   14
second                       14
set                             14
taken                         14
talk                           14
told                           14
upon                           14
water                         14
whether                     14
above                         13
along                         13
below                         13
chair                         13
character                 13
clear                         13
close                         13
coming                       13
dress                         13
during                       13
eight                         13
end                             13
father                       13
feet                           13
find                           13
five                           13
followed                   13
garden                       13
georgiana                 13
given                         13
glad                           13
happy                         13
hear                           13
hill                           13
idea                           13
ill                             13
love                           13
missis                       13
ought                         13
ran                             13
servant                     13
silent                       13
stopped                     13
tea                             13
tothe                         13
trees                         13
used                           13
want                           13
within                       13
anything                   12
bright                       12
change                       12
church                       12
closed                       12
dead                           12
dinner                       12
etc                             12
fine                           12
glass                         12
hay                             12
ihad                           12
ladies                       12
lloyd                         12
longer                       12
next                           12
person                       12
present                     12
probably                   12
remember                   12
right                         12
schoolroom               12
thoughts                   12
walls                         12
wanted                       12
whom                           12
work                           12
amongst                     11
arms                           11
ask                             11
certain                     11
coach                         11
conversation           11
course                       11
cut                             11
dear                           11
death                         11
die                             11
distance                   11
dog                             11
fall                           11
family                       11
feelings                   11
finished                   11
madam                         11
moon                           11
nearly                       11
neither                     11
ofthe                         11
pleasant                   11
pupils                       11
question                   11
really                       11
rest                           11
road                           11
says                           11
sense                         11
shut                           11
since                         11
spirit                       11
stand                         11
subject                     11
taking                       11
teacher                     11
ten                             11
thin                           11
tired                         11
top                             11
upstairs                   11
week                           11
wild                           11
winter                       11
arm                             10
broad                         10
broken                       10
call                           10
carriage                   10
chamber                     10
curls                         10
dressed                     10
drew                           10
eliza                         10
hope                           10
led                             10
letter                       10
liberty                     10
lonely                       10
miles                         10
others                       10
pass                           10
passing                     10
past                           10
picture                     10
placed                       10
play                           10
presently                 10
quietly                     10
return                       10
sad                             10
scene                         10
send                           10
short                         10
sleep                         10
spoke                         10
spread                       10
wonder                       10
added                         9
afterwards               9
ago                             9
also                           9
bonnet                       9
bound                         9
brown                         9
clothes                     9
crib                           9
curtain                     9
dared                         9
deal                           9
delight                     9
dim                             9
doing                         9
drawn                         9
eat                             9
effort                       9
either                       9
ere                             9
examined                   9
except                       9
existence                 9
fetch                         9
flowers                     9
form                           9
gates                         9
himself                     9
hours                         9
immediately             9
kept                           9
knee                           9
leah                           9
lived                         9
men                             9
middle                       9
money                         9
narrow                       9
nine                           9
obliged                     9
orphan                       9
point                         9
pretty                       9
putting                     9
quiet                         9
reply                         9
rooms                         9
shape                         9
sky                             9
standing                   9
state                         9
usual                         9
walk                           9
walked                       9
wall                           9
warm                           9
wicked                       9
wide                           9
yourself                   9
able                           8
addressed                 8
allowed                     8
apartment                 8
asleep                       8
attention                 8
beds                           8
benefactress           8
beyond                       8
burnt                         8
cloak                         8
considered               8
country                     8
daresay                     8
deep                           8
doors                         8
ear                             8
easy                           8
efforts                     8
else                           8
expected                   8
feared                       8
filled                       8
fit                             8
foot                           8
four                           8
gentleman                 8
getting                     8
governess                 8
grace                         8
habits                       8
heavy                         8
held                           8
instantly                 8
institution             8
laid                           8
laugh                         8
learn                         8
library                     8
lifted                       8
lowton                       8
meet                           8
millcote                   8
necessary                 8
nose                           8
pain                           8
pictures                   8
prayers                     8
presence                   8
promise                     8
questions                 8
re                               8
shone                         8
sitting                     8
six                             8
solitary                   8
somewhat                   8
stout                         8
stranger                   8
succeeded                 8
supper                       8
teach                         8
tone                           8
turning                     8
understand               8
whole                         8
windows                     8
account                     7
accustomed               7
among                         7
aunt                           7
aware                         7
bear                           7
believed                   7
broke                         7
calm                           7
carried                     7
caught                       7
cheese                       7
cloud                         7
covered                     7
cruel                         7
daily                         7
drawer                       7
dread                         7
dreary                       7
england                     7
english                     7
everything               7
excitement               7
exclaimed                 7
exercise                   7
expressed                 7
fairy                         7
faults                       7
features                   7
field                         7
figure                       7
forehead                   7
generally                 7
green                         7
ground                       7
hardly                       7
help                           7
hills                         7
hold                           7
hollow                       7
housekeeper             7
iwas                           7
lane                           7
language                   7
lawn                           7
locked                       7
loud                           7
making                       7
manner                       7
marked                       7
matter                       7
mouth                         7
noon                           7
object                       7
observed                   7
partly                       7
passage                     7
path                           7
paused                       7
pity                           7
portion                     7
reached                     7
reader                       7
result                       7
rise                           7
risen                         7
rising                       7
seated                       7
seems                         7
seldom                       7
servants                   7
severe                       7
shook                         7
show                           7
silk                           7
sought                       7
soul                           7
space                         7
speaking                   7
spirits                     7
stay                           7
stirred                     7
stool                         7
tales                         7
task                           7
tears                         7
theroom                     7
thrust                       7
towards                     7
tray                           7
twilight                   7
ve                               7
visible                     7
waiting                     7
watch                         7
whence                       7
whispered                 7
wood                           7
worst                         7
younger                     7
across                       6
act                             6
address                     6
affection                 6
aid                             6
appear                       6
aspect                       6
beautiful                 6
beauty                       6
bedroom                     6
birds                         6
blue                           6
bring                         6
brow                           6
business                   6
bye                             6
careless                   6
chairs                       6
cheek                         6
childhood                 6
clean                         6
company                     6
complete                   6
contents                   6
darkness                   6
degree                       6
dining                       6
directly                   6
discovered               6
dislike                     6
distant                     6
double                       6
draw                           6
duty                           6
earth                         6
especially               6
excited                     6
faces                         6
fact                           6
farther                     6
fast                           6
fault                         6
fearful                     6
forgot                       6
forward                     6
frame                         6
friend                       6
friends                     6
frock                         6
fully                         6
furniture                 6
further                     6
future                       6
gathered                   6
general                     6
ghost                         6
gloom                         6
group                         6
guard                         6
handsome                   6
hearing                     6
hearth                       6
heaven                       6
history                     6
houses                       6
human                         6
husband                     6
inquired                   6
instead                     6
interest                   6
j                                 6
kiss                           6
kitchen                     6
knitting                   6
late                           6
leaves                       6
lesson                       6
lingered                   6
lit                             6
m                                 6
madame                       6
mademoiselle           6
meal                           6
minute                       6
narrative                 6
natural                     6
oak                             6
obeyed                       6
occasion                   6
occupation               6
occupied                   6
offered                     6
ordinary                   6
parlour                     6
piano                         6
piece                         6
plain                         6
pleased                     6
points                       6
porter                       6
post                           6
power                         6
pronounced               6
punishment               6
rain                           6
reason                       6
region                       6
removed                     6
repeated                   6
rules                         6
sank                           6
saying                       6
sea                             6
seem                           6
self                           6
sentiment                 6
shame                         6
shoulder                   6
showed                       6
sick                           6
sight                         6
sing                           6
sisters                     6
slipped                     6
smile                         6
society                     6
soft                           6
square                       6
staircase                 6
